contrast,baseline_candidate,alternative_candidate,metric,baseline_value,alternative_value,absolute_difference,percent_difference
Capacity weight 1.00 minus 0.50,CH-pf100_k050_a040,CH-pf100_k100_a040,total_capacity_2040_gw,866.0031491,832.9863677,-33.01678139,-3.812547498
Capacity weight 1.00 minus 0.50,CH-pf100_k050_a040,CH-pf100_k100_a040,demand_weighted_price_2040_usd_per_kw,171.7434767,197.3018939,25.5584172,14.88173972
Capacity weight 1.00 minus 0.50,CH-pf100_k050_a040,CH-pf100_k100_a040,cross_border_trade_2040_gw,72.22535914,72.25320241,0.02784327466,0.03855055204
Capacity weight 1.00 minus 0.50,CH-pf120_k050_a030,CH-pf120_k100_a030,total_capacity_2040_gw,898.0501204,959.4452823,61.39516199,6.836496159
Capacity weight 1.00 minus 0.50,CH-pf120_k050_a030,CH-pf120_k100_a030,demand_weighted_price_2040_usd_per_kw,131.9510774,139.9421969,7.991119511,6.056122972
Capacity weight 1.00 minus 0.50,CH-pf120_k050_a030,CH-pf120_k100_a030,cross_border_trade_2040_gw,222.7332095,229.6641647,6.930955148,3.111774469
Capacity weight 1.00 minus 0.50,CH-pf120_k050_a040,CH-pf120_k100_a040,total_capacity_2040_gw,885.8613799,889.9712969,4.109917045,0.4639458428
Capacity weight 1.00 minus 0.50,CH-pf120_k050_a040,CH-pf120_k100_a040,demand_weighted_price_2040_usd_per_kw,142.3574453,138.2355635,-4.121881706,-2.895445123
Capacity weight 1.00 minus 0.50,CH-pf120_k050_a040,CH-pf120_k100_a040,cross_border_trade_2040_gw,190.0755054,152.1639367,-37.91156867,-19.94553091
Capacity weight 1.00 minus 0.50,EU-pf100_k050_a030,EU-pf100_k100_a030,total_capacity_2040_gw,847.4257121,851.9871589,4.561446788,0.5382709921
Capacity weight 1.00 minus 0.50,EU-pf100_k050_a030,EU-pf100_k100_a030,demand_weighted_price_2040_usd_per_kw,155.1307861,132.1641596,-22.96662653,-14.80468649
Capacity weight 1.00 minus 0.50,EU-pf100_k050_a030,EU-pf100_k100_a030,cross_border_trade_2040_gw,66.99802408,164.3955027,97.39747861,145.3736583
Capacity weight 1.00 minus 0.50,EU-pf100_k050_a040,EU-pf100_k100_a040,total_capacity_2040_gw,852.0669812,857.8710398,5.804058636,0.6811739879
Capacity weight 1.00 minus 0.50,EU-pf100_k050_a040,EU-pf100_k100_a040,demand_weighted_price_2040_usd_per_kw,147.2243855,160.6806463,13.45626079,9.139967369
Capacity weight 1.00 minus 0.50,EU-pf100_k050_a040,EU-pf100_k100_a040,cross_border_trade_2040_gw,157.2396139,69.03540975,-88.2042041,-56.09540875
Capacity weight 1.00 minus 0.50,EU-pf120_k050_a040,EU-pf120_k100_a040,total_capacity_2040_gw,778.6764217,906.5352224,127.8588007,16.42001699
Capacity weight 1.00 minus 0.50,EU-pf120_k050_a040,EU-pf120_k100_a040,demand_weighted_price_2040_usd_per_kw,216.9287945,141.8321681,-75.09662636,-34.6180997
Capacity weight 1.00 minus 0.50,EU-pf120_k050_a040,EU-pf120_k100_a040,cross_border_trade_2040_gw,70.50745883,194.4273566,123.9198978,175.75431
Damping 0.40 minus 0.30,AF-pf080_k050_a030,AF-pf080_k050_a040,total_capacity_2040_gw,939.3527648,821.2035384,-118.1492264,-12.57772701
Damping 0.40 minus 0.30,AF-pf080_k050_a030,AF-pf080_k050_a040,demand_weighted_price_2040_usd_per_kw,134.6148604,143.9541405,9.339280091,6.937777943
Damping 0.40 minus 0.30,AF-pf080_k050_a030,AF-pf080_k050_a040,cross_border_trade_2040_gw,71.09343554,65.51954135,-5.573894194,-7.840237501
Damping 0.40 minus 0.30,AF-pf100_k050_a030,AF-pf100_k050_a040,total_capacity_2040_gw,832.1695904,821.971799,-10.19779144,-1.225446298
Damping 0.40 minus 0.30,AF-pf100_k050_a030,AF-pf100_k050_a040,demand_weighted_price_2040_usd_per_kw,167.3252878,137.9153298,-29.40995797,-17.57651719
Damping 0.40 minus 0.30,AF-pf100_k050_a030,AF-pf100_k050_a040,cross_border_trade_2040_gw,66.07032934,115.231504,49.16117464,74.40734007
Damping 0.40 minus 0.30,AF-pf100_k100_a030,AF-pf100_k100_a040,total_capacity_2040_gw,828.5886572,837.3162071,8.727549919,1.053303089
Damping 0.40 minus 0.30,AF-pf100_k100_a030,AF-pf100_k100_a040,demand_weighted_price_2040_usd_per_kw,144.3814423,141.1518822,-3.22956017,-2.236824981
Damping 0.40 minus 0.30,AF-pf100_k100_a030,AF-pf100_k100_a040,cross_border_trade_2040_gw,146.5765509,96.47902195,-50.09752892,-34.17840618
Damping 0.40 minus 0.30,AF-pf120_k100_a030,AF-pf120_k100_a040,total_capacity_2040_gw,973.1675213,829.3334873,-143.834034,-14.77998709
Damping 0.40 minus 0.30,AF-pf120_k100_a030,AF-pf120_k100_a040,demand_weighted_price_2040_usd_per_kw,132.7901311,135.0789431,2.288812047,1.723631138
Damping 0.40 minus 0.30,AF-pf120_k100_a030,AF-pf120_k100_a040,cross_border_trade_2040_gw,215.7185667,167.5157252,-48.20284157,-22.34524469
Damping 0.40 minus 0.30,CH-pf080_k100_a030,CH-pf080_k100_a040,total_capacity_2040_gw,886.3915959,792.0625495,-94.32904644,-10.6419157
Damping 0.40 minus 0.30,CH-pf080_k100_a030,CH-pf080_k100_a040,demand_weighted_price_2040_usd_per_kw,124.0049991,214.6723386,90.66733947,73.11587444
Damping 0.40 minus 0.30,CH-pf080_k100_a030,CH-pf080_k100_a040,cross_border_trade_2040_gw,290.9999999,62.72759207,-228.2724079,-78.44412643
Damping 0.40 minus 0.30,CH-pf100_k100_a030,CH-pf100_k100_a040,total_capacity_2040_gw,932.1578578,832.9863677,-99.1714901,-10.63891585
Damping 0.40 minus 0.30,CH-pf100_k100_a030,CH-pf100_k100_a040,demand_weighted_price_2040_usd_per_kw,140.0599399,197.3018939,57.24195401,40.869612
Damping 0.40 minus 0.30,CH-pf100_k100_a030,CH-pf100_k100_a040,cross_border_trade_2040_gw,250.8233647,72.25320241,-178.5701622,-71.19359175
Damping 0.40 minus 0.30,CH-pf120_k050_a030,CH-pf120_k050_a040,total_capacity_2040_gw,898.0501204,885.8613799,-12.18874047,-1.357245012
Damping 0.40 minus 0.30,CH-pf120_k050_a030,CH-pf120_k050_a040,demand_weighted_price_2040_usd_per_kw,131.9510774,142.3574453,10.40636784,7.886534955
Damping 0.40 minus 0.30,CH-pf120_k050_a030,CH-pf120_k050_a040,cross_border_trade_2040_gw,222.7332095,190.0755054,-32.65770417,-14.66225187
Damping 0.40 minus 0.30,CH-pf120_k100_a030,CH-pf120_k100_a040,total_capacity_2040_gw,959.4452823,889.9712969,-69.47398541,-7.241057587
Damping 0.40 minus 0.30,CH-pf120_k100_a030,CH-pf120_k100_a040,demand_weighted_price_2040_usd_per_kw,139.9421969,138.2355635,-1.706633374,-1.219527356
Damping 0.40 minus 0.30,CH-pf120_k100_a030,CH-pf120_k100_a040,cross_border_trade_2040_gw,229.6641647,152.1639367,-77.50022799,-33.74502422
Damping 0.40 minus 0.30,EU-pf080_k050_a030,EU-pf080_k050_a040,total_capacity_2040_gw,892.5731827,829.2790048,-63.29417786,-7.091203174
Damping 0.40 minus 0.30,EU-pf080_k050_a030,EU-pf080_k050_a040,demand_weighted_price_2040_usd_per_kw,147.5272018,149.7217099,2.19450813,1.487527794
Damping 0.40 minus 0.30,EU-pf080_k050_a030,EU-pf080_k050_a040,cross_border_trade_2040_gw,169.2502168,202.0000087,32.74979189,19.34992611
Damping 0.40 minus 0.30,EU-pf100_k050_a030,EU-pf100_k050_a040,total_capacity_2040_gw,847.4257121,852.0669812,4.641269078,0.5476903771
Damping 0.40 minus 0.30,EU-pf100_k050_a030,EU-pf100_k050_a040,demand_weighted_price_2040_usd_per_kw,155.1307861,147.2243855,-7.90640064,-5.09660322
Damping 0.40 minus 0.30,EU-pf100_k050_a030,EU-pf100_k050_a040,cross_border_trade_2040_gw,66.99802408,157.2396139,90.24158978,134.6929123
Damping 0.40 minus 0.30,EU-pf100_k100_a030,EU-pf100_k100_a040,total_capacity_2040_gw,851.9871589,857.8710398,5.883880926,0.6906067615
Damping 0.40 minus 0.30,EU-pf100_k100_a030,EU-pf100_k100_a040,demand_weighted_price_2040_usd_per_kw,132.1641596,160.6806463,28.51648668,21.57656567
Damping 0.40 minus 0.30,EU-pf100_k100_a030,EU-pf100_k100_a040,cross_border_trade_2040_gw,164.3955027,69.03540975,-95.36009294,-58.00650953
Damping 0.40 minus 0.30,EU-pf120_k050_a030,EU-pf120_k050_a040,total_capacity_2040_gw,878.736954,778.6764217,-100.0605323,-11.38685836
Damping 0.40 minus 0.30,EU-pf120_k050_a030,EU-pf120_k050_a040,demand_weighted_price_2040_usd_per_kw,136.5849995,216.9287945,80.34379498,58.82329338
Damping 0.40 minus 0.30,EU-pf120_k050_a030,EU-pf120_k050_a040,cross_border_trade_2040_gw,154.9039754,70.50745883,-84.39651654,-54.48311855
AF-first minus CH-first,CH-pf080_k050_a040,AF-pf080_k050_a040,total_capacity_2040_gw,839.4337373,821.2035384,-18.2301989,-2.171725782
AF-first minus CH-first,CH-pf080_k050_a040,AF-pf080_k050_a040,demand_weighted_price_2040_usd_per_kw,165.952098,143.9541405,-21.99795749,-13.25560674
AF-first minus CH-first,CH-pf080_k050_a040,AF-pf080_k050_a040,cross_border_trade_2040_gw,65.67937215,65.51954135,-0.1598308018,-0.2433500756
AF-first minus CH-first,CH-pf100_k050_a040,AF-pf100_k050_a040,total_capacity_2040_gw,866.0031491,821.971799,-44.03135011,-5.084433025
AF-first minus CH-first,CH-pf100_k050_a040,AF-pf100_k050_a040,demand_weighted_price_2040_usd_per_kw,171.7434767,137.9153298,-33.82814691,-19.69690351
AF-first minus CH-first,CH-pf100_k050_a040,AF-pf100_k050_a040,cross_border_trade_2040_gw,72.22535914,115.231504,43.00614484,59.54438351
AF-first minus CH-first,CH-pf100_k100_a030,AF-pf100_k100_a030,total_capacity_2040_gw,932.1578578,828.5886572,-103.5692006,-11.11069329
AF-first minus CH-first,CH-pf100_k100_a030,AF-pf100_k100_a030,demand_weighted_price_2040_usd_per_kw,140.0599399,144.3814423,4.321502411,3.085466418
AF-first minus CH-first,CH-pf100_k100_a030,AF-pf100_k100_a030,cross_border_trade_2040_gw,250.8233647,146.5765509,-104.2468138,-41.56184331
AF-first minus CH-first,CH-pf100_k100_a040,AF-pf100_k100_a040,total_capacity_2040_gw,832.9863677,837.3162071,4.329839421,0.5197971527
AF-first minus CH-first,CH-pf100_k100_a040,AF-pf100_k100_a040,demand_weighted_price_2040_usd_per_kw,197.3018939,141.1518822,-56.15001177,-28.45893197
AF-first minus CH-first,CH-pf100_k100_a040,AF-pf100_k100_a040,cross_border_trade_2040_gw,72.25320241,96.47902195,24.22581953,33.52905992
AF-first minus CH-first,CH-pf120_k050_a030,AF-pf120_k050_a030,total_capacity_2040_gw,898.0501204,890.8926895,-7.157430856,-0.7969968149
AF-first minus CH-first,CH-pf120_k050_a030,AF-pf120_k050_a030,demand_weighted_price_2040_usd_per_kw,131.9510774,145.8769345,13.92585711,10.55380326
AF-first minus CH-first,CH-pf120_k050_a030,AF-pf120_k050_a030,cross_border_trade_2040_gw,222.7332095,136.9717962,-85.76141335,-38.50409803
AF-first minus CH-first,CH-pf120_k100_a030,AF-pf120_k100_a030,total_capacity_2040_gw,959.4452823,973.1675213,13.72223895,1.43022632
AF-first minus CH-first,CH-pf120_k100_a030,AF-pf120_k100_a030,demand_weighted_price_2040_usd_per_kw,139.9421969,132.7901311,-7.152065843,-5.110728573
AF-first minus CH-first,CH-pf120_k100_a030,AF-pf120_k100_a030,cross_border_trade_2040_gw,229.6641647,215.7185667,-13.94559793,-6.07216975
AF-first minus CH-first,CH-pf120_k100_a040,AF-pf120_k100_a040,total_capacity_2040_gw,889.9712969,829.3334873,-60.63780961,-6.813456774
AF-first minus CH-first,CH-pf120_k100_a040,AF-pf120_k100_a040,demand_weighted_price_2040_usd_per_kw,138.2355635,135.0789431,-3.156620422,-2.283508195
AF-first minus CH-first,CH-pf120_k100_a040,AF-pf120_k100_a040,cross_border_trade_2040_gw,152.1639367,167.5157252,15.35178848,10.08897957
EU-first minus CH-first,CH-pf080_k050_a040,EU-pf080_k050_a040,total_capacity_2040_gw,839.4337373,829.2790048,-10.15473252,-1.209712222
EU-first minus CH-first,CH-pf080_k050_a040,EU-pf080_k050_a040,demand_weighted_price_2040_usd_per_kw,165.952098,149.7217099,-16.23038804,-9.780164422
EU-first minus CH-first,CH-pf080_k050_a040,EU-pf080_k050_a040,cross_border_trade_2040_gw,65.67937215,202.0000087,136.3206365,207.5547193
EU-first minus CH-first,CH-pf100_k050_a040,EU-pf100_k050_a040,total_capacity_2040_gw,866.0031491,852.0669812,-13.93616789,-1.60925141
EU-first minus CH-first,CH-pf100_k050_a040,EU-pf100_k050_a040,demand_weighted_price_2040_usd_per_kw,171.7434767,147.2243855,-24.51909127,-14.27657792
EU-first minus CH-first,CH-pf100_k050_a040,EU-pf100_k050_a040,cross_border_trade_2040_gw,72.22535914,157.2396139,85.01425472,117.7069325
EU-first minus CH-first,CH-pf100_k100_a030,EU-pf100_k100_a030,total_capacity_2040_gw,932.1578578,851.9871589,-80.17069889,-8.600549598
EU-first minus CH-first,CH-pf100_k100_a030,EU-pf100_k100_a030,demand_weighted_price_2040_usd_per_kw,140.0599399,132.1641596,-7.895780353,-5.637429487
EU-first minus CH-first,CH-pf100_k100_a030,EU-pf100_k100_a030,cross_border_trade_2040_gw,250.8233647,164.3955027,-86.42786197,-34.45765991
EU-first minus CH-first,CH-pf100_k100_a040,EU-pf100_k100_a040,total_capacity_2040_gw,832.9863677,857.8710398,24.88467214,2.987404489
EU-first minus CH-first,CH-pf100_k100_a040,EU-pf100_k100_a040,demand_weighted_price_2040_usd_per_kw,197.3018939,160.6806463,-36.62124768,-18.56102187
EU-first minus CH-first,CH-pf100_k100_a040,EU-pf100_k100_a040,cross_border_trade_2040_gw,72.25320241,69.03540975,-3.217792663,-4.45349487
EU-first minus CH-first,CH-pf120_k050_a030,EU-pf120_k050_a030,total_capacity_2040_gw,898.0501204,878.736954,-19.31316637,-2.150566648
EU-first minus CH-first,CH-pf120_k050_a030,EU-pf120_k050_a030,demand_weighted_price_2040_usd_per_kw,131.9510774,136.5849995,4.633922117,3.51184864
EU-first minus CH-first,CH-pf120_k050_a030,EU-pf120_k050_a030,cross_border_trade_2040_gw,222.7332095,154.9039754,-67.82923416,-30.45313014
EU-first minus CH-first,CH-pf120_k050_a040,EU-pf120_k050_a040,total_capacity_2040_gw,885.8613799,778.6764217,-107.1849582,-12.09951812
EU-first minus CH-first,CH-pf120_k050_a040,EU-pf120_k050_a040,demand_weighted_price_2040_usd_per_kw,142.3574453,216.9287945,74.57134925,52.38317471
EU-first minus CH-first,CH-pf120_k050_a040,EU-pf120_k050_a040,cross_border_trade_2040_gw,190.0755054,70.50745883,-119.5680465,-62.90555235
EU-first minus CH-first,CH-pf120_k100_a040,EU-pf120_k100_a040,total_capacity_2040_gw,889.9712969,906.5352224,16.56392545,1.861175244
EU-first minus CH-first,CH-pf120_k100_a040,EU-pf120_k100_a040,demand_weighted_price_2040_usd_per_kw,138.2355635,141.8321681,3.596604596,2.601793998
EU-first minus CH-first,CH-pf120_k100_a040,EU-pf120_k100_a040,cross_border_trade_2040_gw,152.1639367,194.4273566,42.26341995,27.77492543
