candidate,candidate_code,sequence,order,branch,origin,price_factor,capacity_weight,damping,selected_sweep,max_gain_percent,limiting_player,multistart_status,total_capacity_2025_gw,total_capacity_2030_gw,total_capacity_2035_gw,total_capacity_2040_gw,mean_price_2025_usd_per_kw,demand_weighted_price_2025_usd_per_kw,mean_price_2030_usd_per_kw,demand_weighted_price_2030_usd_per_kw,mean_price_2035_usd_per_kw,demand_weighted_price_2035_usd_per_kw,mean_price_2040_usd_per_kw,demand_weighted_price_2040_usd_per_kw,capacity_demand_ratio_2040,price_dispersion_2040_usd_per_kw,cross_border_trade_2040_gw,cross_border_share_2040,china_capacity_share_2040,apac_capacity_share_2040,figure_code,family,pc1_score,pc2_score,average_total_capacity_2025_2040_gw,average_demand_weighted_price_2025_2040_usd_per_kw
af-eu-us-apac-row-ch/pf080_k050_a040,AF-pf080_k050_a040,af-eu-us-apac-row-ch,AF-first,pf080_k050_a040,clean_objective_stage2,0.8,0.5,0.4,11,0.8310431426,apac,one_start_only,1401.4,756.0564979,790.0868144,821.2035384,273.3374017,220.16597,210.620029,157.1622992,185.136435,147.1788113,181.5752604,143.9541405,1.120332249,70.60489977,65.51954135,0.08938545887,0.4164641419,0.2589566225,C12,Family 3,1.423300221,0.9750332224,885.8150272,162.1337219
af-eu-us-apac-row-ch/pf100_k050_a030,AF-pf100_k050_a030,af-eu-us-apac-row-ch,AF-first,pf100_k050_a030,clean_objective_stage2,1,0.5,0.3,14,0.4468730365,row,one_start_only,1401.4,767.8540208,809.5112042,832.1695904,327.9018303,242.0776208,242.837051,181.6143079,201.8472087,155.2461527,219.5525199,167.3252878,1.135292756,105.9844871,66.07032934,0.09013687495,0.4180873263,0.2245699515,C13,Family 3,4.148769338,0.6383709917,898.0500067,180.5206383
af-eu-us-apac-row-ch/pf100_k050_a040,AF-pf100_k050_a040,af-eu-us-apac-row-ch,AF-first,pf100_k050_a040,clean_objective_stage2,1,0.5,0.4,6,0.9048946721,apac,one_start_only,1401.4,736.8326732,814.4048832,821.971799,320.2889187,241.9972094,247.6609501,186.2294176,208.0477391,161.3930591,165.8786158,137.9153298,1.121380353,57.14253652,115.231504,0.157205326,0.4458139705,0.2424385491,C14,Family 3,1.058796059,2.776745614,887.641152,179.1929155
af-eu-us-apac-row-ch/pf100_k100_a030,AF-pf100_k100_a030,af-eu-us-apac-row-ch,AF-first,pf100_k100_a030,clean_objective_stage2,1,1,0.3,11,0.6721281118,apac,one_start_only,1401.4,701.403439,760.268281,828.5886572,309.0969685,234.1818082,218.7836356,168.1558244,198.9330042,154.3231302,191.1845337,144.3814423,1.130407445,78.98779286,146.5765509,0.1999680094,0.4157467128,0.3138406089,C15,Family 3,1.027099043,2.596479705,858.8886829,170.5868599
af-eu-us-apac-row-ch/pf100_k100_a040,AF-pf100_k100_a040,af-eu-us-apac-row-ch,AF-first,pf100_k100_a040,clean_objective_stage2,1,1,0.4,8,0.9534369516,us,one_start_only,1401.4,757.7418054,793.1408681,837.3162071,300.1711153,229.9493409,245.7937611,185.4933677,199.6705786,154.2526724,170.9765808,141.1518822,1.142314062,58.48736409,96.47902195,0.1316221309,0.4459053987,0.2861047828,C16,Family 3,0.9783358363,2.378166003,890.080259,175.0988839
af-eu-us-apac-row-ch/pf120_k050_a030,AF-pf120_k050_a030,af-eu-us-apac-row-ch,AF-first,pf120_k050_a030,clean_objective_stage2,1.2,0.5,0.3,8,0.6549033438,apac,one_start_only,1401.4,814.0905679,837.6505564,890.8926895,289.7687624,221.2806411,209.0199737,160.8598037,199.0782395,155.4389036,180.370273,145.8769345,1.215406125,48.89028726,136.9717962,0.1868646605,0.501432326,0.2951778575,C17,Family 4,-2.754567961,0.4892032349,932.6291563,166.6258317
af-eu-us-apac-row-ch/pf120_k100_a030,AF-pf120_k100_a030,af-eu-us-apac-row-ch,AF-first,pf120_k100_a030,clean_objective_stage2,1.2,1,0.3,5,0.7855083891,us,one_start_only,1401.4,873.3946487,905.1554217,973.1675213,276.6206854,216.539799,219.8736053,172.9781174,193.4791168,153.7621774,156.6367801,132.7901311,1.327650097,38.80771231,215.7185667,0.2942954526,0.5593968047,0.2904172017,C18,Family 4,-5.107974429,-0.980180093,988.611277,167.1350866
af-eu-us-apac-row-ch/pf120_k100_a040,AF-pf120_k100_a040,af-eu-us-apac-row-ch,AF-first,pf120_k100_a040,clean_objective_stage2,1.2,1,0.4,7,0.8148040141,us,one_start_only,1401.4,707.3493028,763.4993419,829.3334873,302.9693349,228.0181167,258.3962809,191.7742739,200.0887221,156.9346873,164.7923903,135.0789431,1.131423584,45.74143064,167.5157252,0.2285344136,0.4784812147,0.3471070995,C19,Family 3,-1.257289399,2.939267169,862.0717961,176.752497
eu-us-af-row-apac-ch/pf080_k050_a030,EU-pf080_k050_a030,eu-us-af-row-apac-ch,EU-first,pf080_k050_a030,clean_objective_stage2,0.8,0.5,0.3,7,0.7425827198,apac,one_start_only,1401.4,860.4848831,827.5079946,892.5731827,266.4894262,211.4522436,177.8091844,143.1857389,201.9208444,158.2597143,180.1435725,147.5272018,1.217698749,48.66711045,169.2502168,0.230900705,0.4689868899,0.2686372113,C20,Family 4,-3.172598155,-2.740512409,944.9931564,160.3117253
eu-us-af-row-apac-ch/pf080_k050_a040,EU-pf080_k050_a040,eu-us-af-row-apac-ch,EU-first,pf080_k050_a040,clean_objective_stage2,0.8,0.5,0.4,8,0.9802010152,us,one_start_only,1401.4,778.4700797,823.1209128,829.2790048,278.8056086,220.9079537,256.6160319,184.4392809,209.5973286,156.9254866,191.2979035,149.7217099,1.131349256,69.86669235,202.0000087,0.2755798209,0.4600653069,0.248759258,C21,Family 3,1.944835602,1.396745297,905.6434983,175.5598664
eu-us-af-row-apac-ch/pf100_k050_a030,EU-pf100_k050_a030,eu-us-af-row-apac-ch,EU-first,pf100_k050_a030,clean_objective_stage2,1,0.5,0.3,11,0.7338125163,apac,one_start_only,1401.4,769.6057351,805.3501042,847.4257121,310.1968945,234.8070063,215.2853256,164.3297318,186.5576213,147.0722058,200.4602673,155.1307861,1.156106019,78.15866586,66.99802408,0.09140248852,0.4209971968,0.247574846,C22,Family 3,2.581315115,0.6414131873,899.7895651,168.7902779
eu-us-af-row-apac-ch/pf100_k050_a040,EU-pf100_k050_a040,eu-us-af-row-apac-ch,EU-first,pf100_k050_a040,clean_objective_stage2,1,0.5,0.4,6,0.8074026701,apac,one_start_only,1401.4,736.9993173,814.3577567,852.0669812,288.3800769,224.3495855,249.8842426,188.5881505,189.2046167,145.7099042,180.1933187,147.2243855,1.162437901,59.22166734,157.2396139,0.2145151622,0.4411327933,0.2503157411,C23,Family 3,0.6139521141,1.908207298,892.6968549,173.3616801
eu-us-af-row-apac-ch/pf100_k100_a030,EU-pf100_k100_a030,eu-us-af-row-apac-ch,EU-first,pf100_k100_a030,clean_objective_stage2,1,1,0.3,10,0.7834637819,apac,one_start_only,1401.4,747.3582768,795.6591908,851.9871589,315.2901269,237.7382106,265.2693069,193.7844317,195.7526335,150.5946454,159.962882,132.1641596,1.162329003,42.49061364,164.3955027,0.2242776299,0.4294355091,0.313765356,C24,Family 3,0.6306833909,2.24376691,889.9036824,176.4434207
eu-us-af-row-apac-ch/pf100_k100_a040,EU-pf100_k100_a040,eu-us-af-row-apac-ch,EU-first,pf100_k100_a040,clean_objective_stage2,1,1,0.4,11,0.4543591126,row,one_start_only,1401.4,757.2209888,829.247891,857.8710398,320.2746019,239.1194247,244.656043,182.9984756,183.6425528,144.7121448,206.3430278,160.6806463,1.170356125,81.42338218,69.03540975,0.09418200512,0.4320116591,0.2625314633,C25,Family 3,2.296486351,2.145365357,905.3681332,175.8702187
eu-us-af-row-apac-ch/pf120_k050_a030,EU-pf120_k050_a030,eu-us-af-row-apac-ch,EU-first,pf120_k050_a030,clean_objective_stage2,1.2,0.5,0.3,9,0.4966557727,apac,one_start_only,1401.4,737.4387577,815.9150684,878.736954,321.1670608,234.3092456,206.1146987,157.1362411,200.395618,156.0221839,167.1583926,136.5849995,1.198822584,48.15737553,154.9039754,0.2113287522,0.4676451819,0.3007044419,C26,Family 3,-0.7558355027,1.492956992,897.8074343,166.2018492
eu-us-af-row-apac-ch/pf120_k050_a040,EU-pf120_k050_a040,eu-us-af-row-apac-ch,EU-first,pf120_k050_a040,clean_objective_stage2,1.2,0.5,0.4,12,0.6845648771,row,one_start_only,1401.4,716.7674655,745.3861558,778.6764217,336.4223105,236.1057965,338.2547281,223.8298495,270.2844716,192.0587613,306.6432131,216.9287945,1.062314354,196.4192206,70.50745883,0.09619025763,0.431094866,0.1730096258,C27,Family 1,10.40300071,-3.189826105,850.7306107,214.1353021
eu-us-af-row-apac-ch/pf120_k100_a040,EU-pf120_k100_a040,eu-us-af-row-apac-ch,EU-first,pf120_k100_a040,clean_objective_stage2,1.2,1,0.4,5,0.6446123018,apac,one_start_only,1401.4,801.0043912,833.9249396,906.5352224,288.5999938,222.2421361,199.1842377,157.5497662,182.2762932,145.0755616,174.8235193,141.8321681,1.236746552,45.64341337,194.4273566,0.2652487812,0.5380178386,0.3192273124,C28,Family 4,-4.499272381,-0.1506143721,929.632314,161.55416
