scenario,branch,period,region,capacity_gw,clearing_price_usd_per_kw
strategic_offers,ch-af-apac-eu-row-us/pf100_k100_a030,2025,ch,931.0,163.32399999893548
strategic_offers,ch-af-apac-eu-row-us/pf100_k100_a030,2025,eu,22.0,310.9214420221916
strategic_offers,ch-af-apac-eu-row-us/pf100_k100_a030,2025,us,42.0,288.8477404356905
strategic_offers,ch-af-apac-eu-row-us/pf100_k100_a030,2025,apac,110.0,309.026458154971
strategic_offers,ch-af-apac-eu-row-us/pf100_k100_a030,2025,af,3.4,310.8978171310511
strategic_offers,ch-af-apac-eu-row-us/pf100_k100_a030,2025,row,293.0,325.7521036460154
strategic_offers,ch-af-apac-eu-row-us/pf100_k100_a030,2030,ch,590.312681724797,107.79092378772657
strategic_offers,ch-af-apac-eu-row-us/pf100_k100_a030,2030,eu,18.45898969957631,220.9139429775651
strategic_offers,ch-af-apac-eu-row-us/pf100_k100_a030,2030,us,4.207842712352516,219.72009256143514
strategic_offers,ch-af-apac-eu-row-us/pf100_k100_a030,2030,apac,173.3369752265155,195.49907269732202
strategic_offers,ch-af-apac-eu-row-us/pf100_k100_a030,2030,af,5.899999988205071,246.91956248891918
strategic_offers,ch-af-apac-eu-row-us/pf100_k100_a030,2030,row,62.74618297483315,221.40981724888533
strategic_offers,ch-af-apac-eu-row-us/pf100_k100_a030,2035,ch,579.1933589005532,95.90883300751864
strategic_offers,ch-af-apac-eu-row-us/pf100_k100_a030,2035,eu,25.2674895444923,205.1761059469238
strategic_offers,ch-af-apac-eu-row-us/pf100_k100_a030,2035,us,4.781431514044877,178.10065392796201
strategic_offers,ch-af-apac-eu-row-us/pf100_k100_a030,2035,apac,235.07957608372155,163.81178858370887
strategic_offers,ch-af-apac-eu-row-us/pf100_k100_a030,2035,af,8.39999998363917,221.3258296410945
strategic_offers,ch-af-apac-eu-row-us/pf100_k100_a030,2035,row,62.73077457744494,201.93394423122646
strategic_offers,ch-af-apac-eu-row-us/pf100_k100_a030,2040,ch,563.763005219233,86.65125720650978
strategic_offers,ch-af-apac-eu-row-us/pf100_k100_a030,2040,eu,29.27663197659343,194.6514641050261
strategic_offers,ch-af-apac-eu-row-us/pf100_k100_a030,2040,us,4.781156021374897,184.53371099398083
strategic_offers,ch-af-apac-eu-row-us/pf100_k100_a030,2040,apac,260.714144257537,159.46702958254858
strategic_offers,ch-af-apac-eu-row-us/pf100_k100_a030,2040,af,10.899999979078936,194.69235322954427
strategic_offers,ch-af-apac-eu-row-us/pf100_k100_a030,2040,row,62.722920357282014,186.82453707805593
strategic_offers,ch-af-apac-eu-row-us/pf100_k100_a040,2025,ch,931.0,163.32399999977554
