scenario,branch,region,discounted_welfare_musd
strategic_offers,eu-us-af-row-apac-ch/pf100_k050_a040,eu,1927197.17827339
strategic_offers,eu-us-af-row-apac-ch/pf100_k050_a040,us,710291.6336516056
strategic_offers,eu-us-af-row-apac-ch/pf100_k050_a040,apac,1209324.5951863565
strategic_offers,eu-us-af-row-apac-ch/pf100_k050_a040,af,468367.23545433255
strategic_offers,eu-us-af-row-apac-ch/pf100_k050_a040,row,1521298.0722876943
strategic_offers,eu-us-af-row-apac-ch/pf100_k050_a040,ALL,9888763.716462731
strategic_offers,eu-us-af-row-apac-ch/pf100_k100_a030,ch,4024656.139423198
strategic_offers,eu-us-af-row-apac-ch/pf100_k100_a030,eu,1919972.9129707434
strategic_offers,eu-us-af-row-apac-ch/pf100_k100_a030,us,699682.7874286311
strategic_offers,eu-us-af-row-apac-ch/pf100_k100_a030,apac,1239875.4621235868
strategic_offers,eu-us-af-row-apac-ch/pf100_k100_a030,af,463912.9345898251
strategic_offers,eu-us-af-row-apac-ch/pf100_k100_a030,row,1512612.7803923846
strategic_offers,eu-us-af-row-apac-ch/pf100_k100_a030,ALL,9860713.01692837
strategic_offers,eu-us-af-row-apac-ch/pf100_k100_a040,ch,4046588.579929187
strategic_offers,eu-us-af-row-apac-ch/pf100_k100_a040,eu,1913547.1742105212
strategic_offers,eu-us-af-row-apac-ch/pf100_k100_a040,us,713942.4188610417
strategic_offers,eu-us-af-row-apac-ch/pf100_k100_a040,apac,1197035.5846439432
strategic_offers,eu-us-af-row-apac-ch/pf100_k100_a040,af,464149.9498247836
strategic_offers,eu-us-af-row-apac-ch/pf100_k100_a040,row,1521132.242235411
strategic_offers,eu-us-af-row-apac-ch/pf100_k100_a040,ALL,9856395.949704887
strategic_offers,eu-us-af-row-apac-ch/pf120_k050_a030,ch,4061156.4250334
strategic_offers,eu-us-af-row-apac-ch/pf120_k050_a030,eu,1962258.800312796
strategic_offers,eu-us-af-row-apac-ch/pf120_k050_a030,us,700434.5399428247
strategic_offers,eu-us-af-row-apac-ch/pf120_k050_a030,apac,1213810.8689062644
strategic_offers,eu-us-af-row-apac-ch/pf120_k050_a030,af,462641.32516112784
strategic_offers,eu-us-af-row-apac-ch/pf120_k050_a030,row,1512968.1996335592
strategic_offers,eu-us-af-row-apac-ch/pf120_k050_a030,ALL,9913270.158989972
strategic_offers,eu-us-af-row-apac-ch/pf120_k050_a040,ch,3976556.244819898
strategic_offers,eu-us-af-row-apac-ch/pf120_k050_a040,eu,1796835.4960062334
strategic_offers,eu-us-af-row-apac-ch/pf120_k050_a040,us,725520.3158860112
strategic_offers,eu-us-af-row-apac-ch/pf120_k050_a040,apac,1118235.433752567
strategic_offers,eu-us-af-row-apac-ch/pf120_k050_a040,af,426505.6885910075
strategic_offers,eu-us-af-row-apac-ch/pf120_k050_a040,row,1683384.6212577887
strategic_offers,eu-us-af-row-apac-ch/pf120_k050_a040,ALL,9727037.800313506
strategic_offers,eu-us-af-row-apac-ch/pf120_k100_a040,ch,4127851.5544922785
strategic_offers,eu-us-af-row-apac-ch/pf120_k100_a040,eu,1946786.2306745138
strategic_offers,eu-us-af-row-apac-ch/pf120_k100_a040,us,705358.5704404671
strategic_offers,eu-us-af-row-apac-ch/pf120_k100_a040,apac,1229368.8505884365
strategic_offers,eu-us-af-row-apac-ch/pf120_k100_a040,af,466040.86980614276
strategic_offers,eu-us-af-row-apac-ch/pf120_k100_a040,row,1529960.3690377166
strategic_offers,eu-us-af-row-apac-ch/pf120_k100_a040,ALL,10005366.445039555
fixed_cost_offers,ch-af-eu-us-row-apac/pf100_k050_a030,ch,4171262.2509776074
fixed_cost_offers,ch-af-eu-us-row-apac/pf100_k050_a030,eu,2042296.6545637436
fixed_cost_offers,ch-af-eu-us-row-apac/pf100_k050_a030,us,757628.776373175
fixed_cost_offers,ch-af-eu-us-row-apac/pf100_k050_a030,apac,1075683.0579512366
fixed_cost_offers,ch-af-eu-us-row-apac/pf100_k050_a030,af,483296.21546748956
fixed_cost_offers,ch-af-eu-us-row-apac/pf100_k050_a030,row,1584895.2727039119
fixed_cost_offers,ch-af-eu-us-row-apac/pf100_k050_a030,ALL,10115062.228037164
fixed_cost_offers,ch-row-apac-us-eu-af/pf100_k050_a040,ch,4120967.970615697
fixed_cost_offers,ch-row-apac-us-eu-af/pf100_k050_a040,eu,2066011.5222276493
fixed_cost_offers,ch-row-apac-us-eu-af/pf100_k050_a040,us,774576.5772369785
fixed_cost_offers,ch-row-apac-us-eu-af/pf100_k050_a040,apac,1072212.9265591756
fixed_cost_offers,ch-row-apac-us-eu-af/pf100_k050_a040,af,485401.6127296828
fixed_cost_offers,ch-row-apac-us-eu-af/pf100_k050_a040,row,1603101.0403331597
fixed_cost_offers,ch-row-apac-us-eu-af/pf100_k050_a040,ALL,10122271.649702342
fixed_cost_offers,us-apac-af-row-eu-ch/pf100_k050_a040,ch,4154464.8040045793
fixed_cost_offers,us-apac-af-row-eu-ch/pf100_k050_a040,eu,2053512.7432295675
fixed_cost_offers,us-apac-af-row-eu-ch/pf100_k050_a040,us,764585.807141943
fixed_cost_offers,us-apac-af-row-eu-ch/pf100_k050_a040,apac,1072156.2682550773
fixed_cost_offers,us-apac-af-row-eu-ch/pf100_k050_a040,af,483364.6790462304
fixed_cost_offers,us-apac-af-row-eu-ch/pf100_k050_a040,row,1591459.8590709965
fixed_cost_offers,us-apac-af-row-eu-ch/pf100_k050_a040,ALL,10119544.160748394
