candidate,candidate_code,sequence,order,branch,origin,price_factor,capacity_weight,damping,selected_sweep,max_gain_percent,limiting_player,multistart_status,region,region_label,year,capacity_gw,price_usd_per_kw,demand_gw,domestic_output_gw,imports_gw,exports_gw,import_share
ch-af-apac-eu-row-us/pf080_k100_a030,CH-pf080_k100_a030,ch-af-apac-eu-row-us,CH-first,pf080_k100_a030,clean_objective_stage2,0.8,1,0.3,11,0.9051136202,apac,one_start_only,row,ROW,2025,293,324.434749,45,3.788444389e-08,44.99999996,4.581514869e-07,0.9999999992
ch-af-apac-eu-row-us/pf080_k100_a030,CH-pf080_k100_a030,ch-af-apac-eu-row-us,CH-first,pf080_k100_a030,clean_objective_stage2,0.8,1,0.3,11,0.9051136202,apac,one_start_only,ch,China,2030,439.0824665,107.7531168,350,312.1930406,37.80695941,3.011463218e-08,0.108019884
ch-af-apac-eu-row-us/pf080_k100_a030,CH-pf080_k100_a030,ch-af-apac-eu-row-us,CH-first,pf080_k100_a030,clean_objective_stage2,0.8,1,0.3,11,0.9051136202,apac,one_start_only,af,Africa,2030,5.899999994,369.399198,14,1.848593831e-10,14,5.899999993,1
ch-af-apac-eu-row-us/pf080_k100_a030,CH-pf080_k100_a030,ch-af-apac-eu-row-us,CH-first,pf080_k100_a030,clean_objective_stage2,0.8,1,0.3,11,0.9051136202,apac,one_start_only,eu,EU,2030,32.81557206,398.0024,90,32.81557205,57.18442795,1.348494665e-08,0.6353825328
ch-af-apac-eu-row-us/pf080_k100_a030,CH-pf080_k100_a030,ch-af-apac-eu-row-us,CH-first,pf080_k100_a030,clean_objective_stage2,0.8,1,0.3,11,0.9051136202,apac,one_start_only,us,US,2030,48.95432821,306.6671052,65,1.880383609e-09,65,48.95432821,1
ch-af-apac-eu-row-us/pf080_k100_a030,CH-pf080_k100_a030,ch-af-apac-eu-row-us,CH-first,pf080_k100_a030,clean_objective_stage2,0.8,1,0.3,11,0.9051136202,apac,one_start_only,apac,APAC,2030,153.2804509,136.0845674,85,84.99999999,7.359308863e-09,68.28045092,8.658010428e-11
ch-af-apac-eu-row-us/pf080_k100_a030,CH-pf080_k100_a030,ch-af-apac-eu-row-us,CH-first,pf080_k100_a030,clean_objective_stage2,0.8,1,0.3,11,0.9051136202,apac,one_start_only,row,ROW,2030,120.8566082,295.0572644,70,69.99999997,3.165730021e-08,50.85660823,4.522471458e-10
ch-af-apac-eu-row-us/pf080_k100_a030,CH-pf080_k100_a030,ch-af-apac-eu-row-us,CH-first,pf080_k100_a030,clean_objective_stage2,0.8,1,0.3,11,0.9051136202,apac,one_start_only,ch,China,2035,437.0743948,95.90883303,333,332.9999999,1.172102579e-07,4.032841689e-07,3.519827566e-10
ch-af-apac-eu-row-us/pf080_k100_a030,CH-pf080_k100_a030,ch-af-apac-eu-row-us,CH-first,pf080_k100_a030,clean_objective_stage2,0.8,1,0.3,11,0.9051136202,apac,one_start_only,af,Africa,2035,8.399999992,304.4402779,19.99999999,9.185999427e-08,19.9999999,8.399999878,0.9999999954
ch-af-apac-eu-row-us/pf080_k100_a030,CH-pf080_k100_a030,ch-af-apac-eu-row-us,CH-first,pf080_k100_a030,clean_objective_stage2,0.8,1,0.3,11,0.9051136202,apac,one_start_only,eu,EU,2035,43.6521681,305.7872902,94.99999999,1.245074872e-07,94.99999987,43.65216795,0.9999999987
ch-af-apac-eu-row-us/pf080_k100_a030,CH-pf080_k100_a030,ch-af-apac-eu-row-us,CH-first,pf080_k100_a030,clean_objective_stage2,0.8,1,0.3,11,0.9051136202,apac,one_start_only,us,US,2035,66.9512174,328.1373451,69.99999998,1.935054838e-07,69.99999979,66.95121717,0.9999999972
ch-af-apac-eu-row-us/pf080_k100_a030,CH-pf080_k100_a030,ch-af-apac-eu-row-us,CH-first,pf080_k100_a030,clean_objective_stage2,0.8,1,0.3,11,0.9051136202,apac,one_start_only,apac,APAC,2035,195.0614905,110.015208,103,102.9999999,1.150090904e-07,19.20249078,1.116593111e-09
ch-af-apac-eu-row-us/pf080_k100_a030,CH-pf080_k100_a030,ch-af-apac-eu-row-us,CH-first,pf080_k100_a030,clean_objective_stage2,0.8,1,0.3,11,0.9051136202,apac,one_start_only,row,ROW,2035,125.7941237,297.7389419,78.99999999,78.99999954,4.538857846e-07,46.79412406,5.745389679e-09
ch-af-apac-eu-row-us/pf080_k100_a030,CH-pf080_k100_a030,ch-af-apac-eu-row-us,CH-first,pf080_k100_a030,clean_objective_stage2,0.8,1,0.3,11,0.9051136202,apac,one_start_only,ch,China,2040,435.5420103,86.65125729,316,315.9999998,1.501878088e-07,99.00000008,4.75277876e-10
ch-af-apac-eu-row-us/pf080_k100_a030,CH-pf080_k100_a030,ch-af-apac-eu-row-us,CH-first,pf080_k100_a030,clean_objective_stage2,0.8,1,0.3,11,0.9051136202,apac,one_start_only,af,Africa,2040,10.89999999,186.8889148,28,7.013620984e-08,27.99999993,10.89999991,0.9999999975
ch-af-apac-eu-row-us/pf080_k100_a030,CH-pf080_k100_a030,ch-af-apac-eu-row-us,CH-first,pf080_k100_a030,clean_objective_stage2,0.8,1,0.3,11,0.9051136202,apac,one_start_only,eu,EU,2040,35.5084688,166.2330649,99,2.71405379e-08,98.99999997,35.50846874,0.9999999997
ch-af-apac-eu-row-us/pf080_k100_a030,CH-pf080_k100_a030,ch-af-apac-eu-row-us,CH-first,pf080_k100_a030,clean_objective_stage2,0.8,1,0.3,11,0.9051136202,apac,one_start_only,us,US,2040,52.66974501,175.2632508,75,1.612197461e-08,74.99999998,52.66974498,0.9999999998
ch-af-apac-eu-row-us/pf080_k100_a030,CH-pf080_k100_a030,ch-af-apac-eu-row-us,CH-first,pf080_k100_a030,clean_objective_stage2,0.8,1,0.3,11,0.9051136202,apac,one_start_only,apac,APAC,2040,227.9790528,99.41154604,126,125.9999999,6.886426511e-08,92.9217859,5.465417866e-10
ch-af-apac-eu-row-us/pf080_k100_a030,CH-pf080_k100_a030,ch-af-apac-eu-row-us,CH-first,pf080_k100_a030,clean_objective_stage2,0.8,1,0.3,11,0.9051136202,apac,one_start_only,row,ROW,2040,123.792319,181.4978137,89,1.750012449e-07,88.99999982,3.163277883e-07,0.999999998
ch-af-apac-eu-row-us/pf080_k100_a040,CH-pf080_k100_a040,ch-af-apac-eu-row-us,CH-first,pf080_k100_a040,clean_objective_stage2,0.8,1,0.4,13,0.8920375905,row,one_start_only,ch,China,2025,931,163.324,324,324,4.164516211e-09,89.59999951,1.28534451e-11
ch-af-apac-eu-row-us/pf080_k100_a040,CH-pf080_k100_a040,ch-af-apac-eu-row-us,CH-first,pf080_k100_a040,clean_objective_stage2,0.8,1,0.4,13,0.8920375905,row,one_start_only,af,Africa,2025,3.4,358.8068253,10,1.586789216e-06,9.999998413,3.399998413,0.9999998413
ch-af-apac-eu-row-us/pf080_k100_a040,CH-pf080_k100_a040,ch-af-apac-eu-row-us,CH-first,pf080_k100_a040,clean_objective_stage2,0.8,1,0.4,13,0.8920375905,row,one_start_only,eu,EU,2025,22,278.7967448,75,9.567434356e-10,75,22,1
ch-af-apac-eu-row-us/pf080_k100_a040,CH-pf080_k100_a040,ch-af-apac-eu-row-us,CH-first,pf080_k100_a040,clean_objective_stage2,0.8,1,0.4,13,0.8920375905,row,one_start_only,us,US,2025,42,296.3781046,45,3.984638399e-09,45,1.868487574e-07,0.9999999999
ch-af-apac-eu-row-us/pf080_k100_a040,CH-pf080_k100_a040,ch-af-apac-eu-row-us,CH-first,pf080_k100_a040,clean_objective_stage2,0.8,1,0.4,13,0.8920375905,row,one_start_only,apac,APAC,2025,110,271.5953164,50,49.99999981,1.928027092e-07,60.00000019,3.856054184e-09
ch-af-apac-eu-row-us/pf080_k100_a040,CH-pf080_k100_a040,ch-af-apac-eu-row-us,CH-first,pf080_k100_a040,clean_objective_stage2,0.8,1,0.4,13,0.8920375905,row,one_start_only,row,ROW,2025,293,330.2186111,45,4.34934638e-09,45,3.03945438e-07,0.9999999999
ch-af-apac-eu-row-us/pf080_k100_a040,CH-pf080_k100_a040,ch-af-apac-eu-row-us,CH-first,pf080_k100_a040,clean_objective_stage2,0.8,1,0.4,13,0.8920375905,row,one_start_only,ch,China,2030,510.6707704,118.0004646,350,350,4.932884277e-09,160.6707704,1.409395508e-11
ch-af-apac-eu-row-us/pf080_k100_a040,CH-pf080_k100_a040,ch-af-apac-eu-row-us,CH-first,pf080_k100_a040,clean_objective_stage2,0.8,1,0.4,13,0.8920375905,row,one_start_only,af,Africa,2030,5.899999989,348.4505292,14,5.899999984,8.100000016,4.299684256e-09,0.5785714297
