candidate,region,region_label,component,change_percent_of_planner_regional_welfare
eu-us-af-row-apac-ch/pf120_k050_a040,ch,China,Producer surplus,-0.1190566564
eu-us-af-row-apac-ch/pf120_k050_a040,eu,Europe,Consumer surplus,-24.20616121
eu-us-af-row-apac-ch/pf120_k050_a040,eu,Europe,Producer surplus,9.428216018
eu-us-af-row-apac-ch/pf120_k050_a040,us,United States,Consumer surplus,-31.49766368
eu-us-af-row-apac-ch/pf120_k050_a040,us,United States,Producer surplus,22.32694268
eu-us-af-row-apac-ch/pf120_k050_a040,apac,Asia-Pacific,Consumer surplus,-1.813567556
eu-us-af-row-apac-ch/pf120_k050_a040,apac,Asia-Pacific,Producer surplus,5.513602482
eu-us-af-row-apac-ch/pf120_k050_a040,af,Africa,Consumer surplus,-22.82344304
eu-us-af-row-apac-ch/pf120_k050_a040,af,Africa,Producer surplus,9.465530217
eu-us-af-row-apac-ch/pf120_k050_a040,row,Rest of World,Consumer surplus,-12.35494548
eu-us-af-row-apac-ch/pf120_k050_a040,row,Rest of World,Producer surplus,14.86475697
eu-us-af-row-apac-ch/pf120_k100_a040,ch,China,Consumer surplus,0.02817541097
eu-us-af-row-apac-ch/pf120_k100_a040,ch,China,Producer surplus,3.750675503
eu-us-af-row-apac-ch/pf120_k100_a040,eu,Europe,Consumer surplus,-9.028757771
eu-us-af-row-apac-ch/pf120_k100_a040,eu,Europe,Producer surplus,1.234646121
eu-us-af-row-apac-ch/pf120_k100_a040,us,United States,Consumer surplus,-13.61469397
eu-us-af-row-apac-ch/pf120_k100_a040,us,United States,Producer surplus,0.6304327164
eu-us-af-row-apac-ch/pf120_k100_a040,apac,Asia-Pacific,Consumer surplus,-5.86799287
eu-us-af-row-apac-ch/pf120_k100_a040,apac,Asia-Pacific,Producer surplus,20.72990511
eu-us-af-row-apac-ch/pf120_k100_a040,af,Africa,Consumer surplus,-8.783816949
eu-us-af-row-apac-ch/pf120_k100_a040,af,Africa,Producer surplus,3.434494506
eu-us-af-row-apac-ch/pf120_k100_a040,row,Rest of World,Consumer surplus,-7.040333987
eu-us-af-row-apac-ch/pf120_k100_a040,row,Rest of World,Producer surplus,-5.290583801e-09
