candidate,region,region_label,consumer_surplus_billion_usd_pv,producer_surplus_billion_usd_pv,capacity_cost_billion_usd_pv
ch-af-apac-eu-row-us/pf100_k050_a040,row,Rest of World,1513.286186,32.59583063,17.42765677
ch-af-apac-eu-row-us/pf100_k100_a030,ch,China,3991.491048,170.0997972,29.58572338
ch-af-apac-eu-row-us/pf100_k100_a030,eu,Europe,1959.937681,10.97633722,5.207222633
ch-af-apac-eu-row-us/pf100_k100_a030,us,United States,714.8403724,1.035696758,2.422181543
ch-af-apac-eu-row-us/pf100_k100_a030,apac,Asia-Pacific,971.1613889,250.3677466,17.46148387
ch-af-apac-eu-row-us/pf100_k100_a030,af,Africa,459.3807124,13.7191461,1.912289589
ch-af-apac-eu-row-us/pf100_k100_a030,row,Rest of World,1534.082492,0.07156955597,13.9969821
ch-af-apac-eu-row-us/pf120_k050_a030,ch,China,3991.491048,169.7094073,28.43160641
ch-af-apac-eu-row-us/pf120_k050_a030,eu,Europe,1964.751638,11.32404253,4.954286681
ch-af-apac-eu-row-us/pf120_k050_a030,us,United States,705.1657008,6.975586887,5.111320088
ch-af-apac-eu-row-us/pf120_k050_a030,apac,Asia-Pacific,1026.790679,192.6172067,16.96599739
ch-af-apac-eu-row-us/pf120_k050_a030,af,Africa,459.21774,14.04377608,1.788759813
ch-af-apac-eu-row-us/pf120_k050_a030,row,Rest of World,1534.222346,-1.276638013e-07,12.75151661
ch-af-apac-eu-row-us/pf120_k050_a040,ch,China,3991.491048,130.0026193,27.40843454
ch-af-apac-eu-row-us/pf120_k050_a040,eu,Europe,1976.054545,12.51359811,6.013475283
ch-af-apac-eu-row-us/pf120_k050_a040,us,United States,675.1448844,29.76605635,10.4186085
ch-af-apac-eu-row-us/pf120_k050_a040,apac,Asia-Pacific,1005.247061,195.797236,15.92986448
ch-af-apac-eu-row-us/pf120_k050_a040,af,Africa,453.5647119,15.47620229,1.817034881
ch-af-apac-eu-row-us/pf120_k050_a040,row,Rest of World,1541.393152,-1.030910789e-08,11.92832227
ch-af-apac-eu-row-us/pf120_k100_a030,ch,China,3991.491048,183.6420614,29.97439374
ch-af-apac-eu-row-us/pf120_k100_a030,eu,Europe,1986.613714,4.869642611,4.977014419
ch-af-apac-eu-row-us/pf120_k100_a030,us,United States,707.5866113,3.619130977,4.2435497
ch-af-apac-eu-row-us/pf120_k100_a030,apac,Asia-Pacific,1018.008956,189.5001919,16.59172187
ch-af-apac-eu-row-us/pf120_k100_a030,af,Africa,459.802449,13.20935193,1.912289589
ch-af-apac-eu-row-us/pf120_k100_a030,row,Rest of World,1543.295202,-6.21774996e-07,14.00183985
ch-af-apac-eu-row-us/pf120_k100_a040,ch,China,3991.491048,127.4205164,25.2663479
ch-af-apac-eu-row-us/pf120_k100_a040,eu,Europe,1958.592158,17.50088573,9.516465299
ch-af-apac-eu-row-us/pf120_k100_a040,us,United States,689.737919,13.42385077,6.299156841
ch-af-apac-eu-row-us/pf120_k100_a040,apac,Asia-Pacific,1014.607131,215.1005124,18.50986846
ch-af-apac-eu-row-us/pf120_k100_a040,af,Africa,457.7758006,14.05529964,1.912289589
ch-af-apac-eu-row-us/pf120_k100_a040,row,Rest of World,1524.56565,4.899021306,15.14205733
af-eu-us-apac-row-ch/pf080_k050_a030,ch,China,3991.491048,87.83873521,26.55322134
af-eu-us-apac-row-ch/pf080_k050_a030,eu,Europe,1955.587251,22.30569437,10.55697626
af-eu-us-apac-row-ch/pf080_k050_a030,us,United States,685.0668172,29.74051048,12.98905677
af-eu-us-apac-row-ch/pf080_k050_a030,apac,Asia-Pacific,1029.318712,162.9241692,14.5099407
af-eu-us-apac-row-ch/pf080_k050_a030,af,Africa,458.3756623,14.79185607,1.813222958
af-eu-us-apac-row-ch/pf080_k050_a030,row,Rest of World,1529.238251,0.7291469488,17.0578378
af-eu-us-apac-row-ch/pf080_k050_a040,ch,China,3991.491046,38.03232542,22.42456613
af-eu-us-apac-row-ch/pf080_k050_a040,eu,Europe,1891.696159,41.47660855,12.36356794
af-eu-us-apac-row-ch/pf080_k050_a040,us,United States,696.9388348,31.09418835,18.38270087
af-eu-us-apac-row-ch/pf080_k050_a040,apac,Asia-Pacific,1068.344881,138.6286121,14.03011212
af-eu-us-apac-row-ch/pf080_k050_a040,af,Africa,448.7461295,20.16014724,1.904072774
af-eu-us-apac-row-ch/pf080_k050_a040,row,Rest of World,1530.243327,9.09102533,17.50831056
af-eu-us-apac-row-ch/pf100_k050_a030,ch,China,3991.491048,4.663000499,22.49467856
af-eu-us-apac-row-ch/pf100_k050_a030,eu,Europe,1805.409387,94.07417746,12.22295183
af-eu-us-apac-row-ch/pf100_k050_a030,us,United States,659.6506019,60.7295944,18.1328056
af-eu-us-apac-row-ch/pf100_k050_a030,apac,Asia-Pacific,1026.973486,190.0029266,12.16174852
af-eu-us-apac-row-ch/pf100_k050_a030,af,Africa,433.8666691,25.09131457,1.900635337
af-eu-us-apac-row-ch/pf100_k050_a030,row,Rest of World,1488.480302,58.06720829,19.77495784
af-eu-us-apac-row-ch/pf100_k050_a040,ch,China,3991.491048,17.7576244,23.10793063
af-eu-us-apac-row-ch/pf100_k050_a040,eu,Europe,1872.678648,55.08028501,11.32408745
af-eu-us-apac-row-ch/pf100_k050_a040,us,United States,649.4020753,75.24733108,18.3165827
af-eu-us-apac-row-ch/pf100_k050_a040,apac,Asia-Pacific,966.8901098,260.789708,13.58449986
af-eu-us-apac-row-ch/pf100_k050_a040,af,Africa,451.6514434,19.16911014,1.806629544
af-eu-us-apac-row-ch/pf100_k050_a040,row,Rest of World,1522.330724,1.903603843,16.77593296
af-eu-us-apac-row-ch/pf100_k100_a030,ch,China,3991.491048,4.015357967,22.52826325
af-eu-us-apac-row-ch/pf100_k100_a030,eu,Europe,1878.023906,54.04586956,11.7123749
af-eu-us-apac-row-ch/pf100_k100_a030,us,United States,673.0147178,52.44206837,20.35831738
af-eu-us-apac-row-ch/pf100_k100_a030,apac,Asia-Pacific,1028.652622,228.1465505,17.01515521
af-eu-us-apac-row-ch/pf100_k100_a030,af,Africa,438.2204798,21.74271475,1.892842995
af-eu-us-apac-row-ch/pf100_k100_a030,row,Rest of World,1524.351938,0.02425878311,13.66108266
af-eu-us-apac-row-ch/pf100_k100_a040,ch,China,3991.491048,55.5692193,23.49574279
af-eu-us-apac-row-ch/pf100_k100_a040,eu,Europe,1857.912493,60.21327974,11.94927078
af-eu-us-apac-row-ch/pf100_k100_a040,us,United States,660.4196314,67.51870371,17.25741912
af-eu-us-apac-row-ch/pf100_k100_a040,apac,Asia-Pacific,1023.379827,210.6400254,15.76369779
af-eu-us-apac-row-ch/pf100_k100_a040,af,Africa,451.5737237,19.03299994,1.886593941
af-eu-us-apac-row-ch/pf100_k100_a040,row,Rest of World,1516.673379,11.33273869,14.81536235
af-eu-us-apac-row-ch/pf120_k050_a030,ch,China,3991.491048,110.0409218,26.30157574
af-eu-us-apac-row-ch/pf120_k050_a030,eu,Europe,1933.914721,29.23135477,10.80636478
af-eu-us-apac-row-ch/pf120_k050_a030,us,United States,676.4916188,32.04432712,13.29700529
af-eu-us-apac-row-ch/pf120_k050_a030,apac,Asia-Pacific,1001.716608,238.226148,17.32008121
af-eu-us-apac-row-ch/pf120_k050_a030,af,Africa,447.9174292,17.71213452,1.851759823
af-eu-us-apac-row-ch/pf120_k050_a030,row,Rest of World,1532.63065,0.001307909934,12.50538249
af-eu-us-apac-row-ch/pf120_k100_a030,ch,China,3991.491048,136.9708108,28.84615882
af-eu-us-apac-row-ch/pf120_k100_a030,eu,Europe,1938.066217,20.72757232,6.874577741
af-eu-us-apac-row-ch/pf120_k100_a030,us,United States,688.6148664,13.83113165,5.777958559
af-eu-us-apac-row-ch/pf120_k100_a030,apac,Asia-Pacific,987.1167677,256.2517314,18.43324414
af-eu-us-apac-row-ch/pf120_k100_a030,af,Africa,460.7312734,14.92862635,1.912282642
af-eu-us-apac-row-ch/pf120_k100_a030,row,Rest of World,1534.618193,0.01249725507,13.78628629
af-eu-us-apac-row-ch/pf120_k100_a040,ch,China,3991.491048,96.97447043,23.89908075
af-eu-us-apac-row-ch/pf120_k100_a040,eu,Europe,1892.835529,41.98940819,9.376842824
