candidate,candidate_code,sequence,order,branch,origin,price_factor,capacity_weight,damping,selected_sweep,max_gain_percent,limiting_player,multistart_status,region,region_label,year,capacity_gw
ch-af-apac-eu-row-us/pf080_k050_a040,CH-pf080_k050_a040,ch-af-apac-eu-row-us,CH-first,pf080_k050_a040,clean_objective_stage2,0.8,0.5,0.4,12,0.6249764404,apac,one_start_only,eu,EU,2040,61.32062805
ch-af-apac-eu-row-us/pf080_k050_a040,CH-pf080_k050_a040,ch-af-apac-eu-row-us,CH-first,pf080_k050_a040,clean_objective_stage2,0.8,0.5,0.4,12,0.6249764404,apac,one_start_only,us,US,2040,97.14578207
ch-af-apac-eu-row-us/pf080_k050_a040,CH-pf080_k050_a040,ch-af-apac-eu-row-us,CH-first,pf080_k050_a040,clean_objective_stage2,0.8,0.5,0.4,12,0.6249764404,apac,one_start_only,apac,APAC,2040,184.0629523
ch-af-apac-eu-row-us/pf080_k050_a040,CH-pf080_k050_a040,ch-af-apac-eu-row-us,CH-first,pf080_k050_a040,clean_objective_stage2,0.8,0.5,0.4,12,0.6249764404,apac,one_start_only,row,ROW,2040,125.9993014
ch-af-apac-eu-row-us/pf080_k100_a030,CH-pf080_k100_a030,ch-af-apac-eu-row-us,CH-first,pf080_k100_a030,clean_objective_stage2,0.8,1,0.3,11,0.9051136202,apac,one_start_only,ch,China,2025,931
ch-af-apac-eu-row-us/pf080_k100_a030,CH-pf080_k100_a030,ch-af-apac-eu-row-us,CH-first,pf080_k100_a030,clean_objective_stage2,0.8,1,0.3,11,0.9051136202,apac,one_start_only,af,Africa,2025,3.4
ch-af-apac-eu-row-us/pf080_k100_a030,CH-pf080_k100_a030,ch-af-apac-eu-row-us,CH-first,pf080_k100_a030,clean_objective_stage2,0.8,1,0.3,11,0.9051136202,apac,one_start_only,eu,EU,2025,22
ch-af-apac-eu-row-us/pf080_k100_a030,CH-pf080_k100_a030,ch-af-apac-eu-row-us,CH-first,pf080_k100_a030,clean_objective_stage2,0.8,1,0.3,11,0.9051136202,apac,one_start_only,us,US,2025,42
ch-af-apac-eu-row-us/pf080_k100_a030,CH-pf080_k100_a030,ch-af-apac-eu-row-us,CH-first,pf080_k100_a030,clean_objective_stage2,0.8,1,0.3,11,0.9051136202,apac,one_start_only,apac,APAC,2025,110
ch-af-apac-eu-row-us/pf080_k100_a030,CH-pf080_k100_a030,ch-af-apac-eu-row-us,CH-first,pf080_k100_a030,clean_objective_stage2,0.8,1,0.3,11,0.9051136202,apac,one_start_only,row,ROW,2025,293
ch-af-apac-eu-row-us/pf080_k100_a030,CH-pf080_k100_a030,ch-af-apac-eu-row-us,CH-first,pf080_k100_a030,clean_objective_stage2,0.8,1,0.3,11,0.9051136202,apac,one_start_only,ch,China,2030,439.0824665
ch-af-apac-eu-row-us/pf080_k100_a030,CH-pf080_k100_a030,ch-af-apac-eu-row-us,CH-first,pf080_k100_a030,clean_objective_stage2,0.8,1,0.3,11,0.9051136202,apac,one_start_only,af,Africa,2030,5.899999994
ch-af-apac-eu-row-us/pf080_k100_a030,CH-pf080_k100_a030,ch-af-apac-eu-row-us,CH-first,pf080_k100_a030,clean_objective_stage2,0.8,1,0.3,11,0.9051136202,apac,one_start_only,eu,EU,2030,32.81557206
ch-af-apac-eu-row-us/pf080_k100_a030,CH-pf080_k100_a030,ch-af-apac-eu-row-us,CH-first,pf080_k100_a030,clean_objective_stage2,0.8,1,0.3,11,0.9051136202,apac,one_start_only,us,US,2030,48.95432821
ch-af-apac-eu-row-us/pf080_k100_a030,CH-pf080_k100_a030,ch-af-apac-eu-row-us,CH-first,pf080_k100_a030,clean_objective_stage2,0.8,1,0.3,11,0.9051136202,apac,one_start_only,apac,APAC,2030,153.2804509
ch-af-apac-eu-row-us/pf080_k100_a030,CH-pf080_k100_a030,ch-af-apac-eu-row-us,CH-first,pf080_k100_a030,clean_objective_stage2,0.8,1,0.3,11,0.9051136202,apac,one_start_only,row,ROW,2030,120.8566082
ch-af-apac-eu-row-us/pf080_k100_a030,CH-pf080_k100_a030,ch-af-apac-eu-row-us,CH-first,pf080_k100_a030,clean_objective_stage2,0.8,1,0.3,11,0.9051136202,apac,one_start_only,ch,China,2035,437.0743948
ch-af-apac-eu-row-us/pf080_k100_a030,CH-pf080_k100_a030,ch-af-apac-eu-row-us,CH-first,pf080_k100_a030,clean_objective_stage2,0.8,1,0.3,11,0.9051136202,apac,one_start_only,af,Africa,2035,8.399999992
ch-af-apac-eu-row-us/pf080_k100_a030,CH-pf080_k100_a030,ch-af-apac-eu-row-us,CH-first,pf080_k100_a030,clean_objective_stage2,0.8,1,0.3,11,0.9051136202,apac,one_start_only,eu,EU,2035,43.6521681
ch-af-apac-eu-row-us/pf080_k100_a030,CH-pf080_k100_a030,ch-af-apac-eu-row-us,CH-first,pf080_k100_a030,clean_objective_stage2,0.8,1,0.3,11,0.9051136202,apac,one_start_only,us,US,2035,66.9512174
ch-af-apac-eu-row-us/pf080_k100_a030,CH-pf080_k100_a030,ch-af-apac-eu-row-us,CH-first,pf080_k100_a030,clean_objective_stage2,0.8,1,0.3,11,0.9051136202,apac,one_start_only,apac,APAC,2035,195.0614905
ch-af-apac-eu-row-us/pf080_k100_a030,CH-pf080_k100_a030,ch-af-apac-eu-row-us,CH-first,pf080_k100_a030,clean_objective_stage2,0.8,1,0.3,11,0.9051136202,apac,one_start_only,row,ROW,2035,125.7941237
ch-af-apac-eu-row-us/pf080_k100_a030,CH-pf080_k100_a030,ch-af-apac-eu-row-us,CH-first,pf080_k100_a030,clean_objective_stage2,0.8,1,0.3,11,0.9051136202,apac,one_start_only,ch,China,2040,435.5420103
ch-af-apac-eu-row-us/pf080_k100_a030,CH-pf080_k100_a030,ch-af-apac-eu-row-us,CH-first,pf080_k100_a030,clean_objective_stage2,0.8,1,0.3,11,0.9051136202,apac,one_start_only,af,Africa,2040,10.89999999
ch-af-apac-eu-row-us/pf080_k100_a030,CH-pf080_k100_a030,ch-af-apac-eu-row-us,CH-first,pf080_k100_a030,clean_objective_stage2,0.8,1,0.3,11,0.9051136202,apac,one_start_only,eu,EU,2040,35.5084688
ch-af-apac-eu-row-us/pf080_k100_a030,CH-pf080_k100_a030,ch-af-apac-eu-row-us,CH-first,pf080_k100_a030,clean_objective_stage2,0.8,1,0.3,11,0.9051136202,apac,one_start_only,us,US,2040,52.66974501
ch-af-apac-eu-row-us/pf080_k100_a030,CH-pf080_k100_a030,ch-af-apac-eu-row-us,CH-first,pf080_k100_a030,clean_objective_stage2,0.8,1,0.3,11,0.9051136202,apac,one_start_only,apac,APAC,2040,227.9790528
ch-af-apac-eu-row-us/pf080_k100_a030,CH-pf080_k100_a030,ch-af-apac-eu-row-us,CH-first,pf080_k100_a030,clean_objective_stage2,0.8,1,0.3,11,0.9051136202,apac,one_start_only,row,ROW,2040,123.792319
