profile,calibration,sequence,one_start_gain_pct,region,time,capacity_gw
Corrected ch-af-eu-us-row-apac,corrected_demand_slopes,ch-af-eu-us-row-apac,0.7641337316175635,us,2035,6.714407956968904e-06
Corrected ch-af-eu-us-row-apac,corrected_demand_slopes,ch-af-eu-us-row-apac,0.7641337316175635,eu,2035,2.8599631950302977e-07
Corrected ch-af-eu-us-row-apac,corrected_demand_slopes,ch-af-eu-us-row-apac,0.7641337316175635,af,2035,8.399999740102086
Corrected ch-af-eu-us-row-apac,corrected_demand_slopes,ch-af-eu-us-row-apac,0.7641337316175635,ch,2040,760.043075948549
Corrected ch-af-eu-us-row-apac,corrected_demand_slopes,ch-af-eu-us-row-apac,0.7641337316175635,row,2040,132.67210306957074
Corrected ch-af-eu-us-row-apac,corrected_demand_slopes,ch-af-eu-us-row-apac,0.7641337316175635,apac,2040,36.32427768350618
Corrected ch-af-eu-us-row-apac,corrected_demand_slopes,ch-af-eu-us-row-apac,0.7641337316175635,us,2040,6.6952168309171225e-06
Corrected ch-af-eu-us-row-apac,corrected_demand_slopes,ch-af-eu-us-row-apac,0.7641337316175635,eu,2040,2.836522694036151e-07
Corrected ch-af-eu-us-row-apac,corrected_demand_slopes,ch-af-eu-us-row-apac,0.7641337316175635,af,2040,10.8999996562858
Corrected ch-row-apac-us-eu-af,corrected_demand_slopes,ch-row-apac-us-eu-af,0.9927393506884905,ch,2025,931.0
Corrected ch-row-apac-us-eu-af,corrected_demand_slopes,ch-row-apac-us-eu-af,0.9927393506884905,row,2025,293.0
Corrected ch-row-apac-us-eu-af,corrected_demand_slopes,ch-row-apac-us-eu-af,0.9927393506884905,apac,2025,110.0
Corrected ch-row-apac-us-eu-af,corrected_demand_slopes,ch-row-apac-us-eu-af,0.9927393506884905,us,2025,42.0
Corrected ch-row-apac-us-eu-af,corrected_demand_slopes,ch-row-apac-us-eu-af,0.9927393506884905,eu,2025,22.0
Corrected ch-row-apac-us-eu-af,corrected_demand_slopes,ch-row-apac-us-eu-af,0.9927393506884905,af,2025,3.4
Corrected ch-row-apac-us-eu-af,corrected_demand_slopes,ch-row-apac-us-eu-af,0.9927393506884905,ch,2030,645.073614252758
Corrected ch-row-apac-us-eu-af,corrected_demand_slopes,ch-row-apac-us-eu-af,0.9927393506884905,row,2030,224.40946005960384
Corrected ch-row-apac-us-eu-af,corrected_demand_slopes,ch-row-apac-us-eu-af,0.9927393506884905,apac,2030,156.19596000829404
Corrected ch-row-apac-us-eu-af,corrected_demand_slopes,ch-row-apac-us-eu-af,0.9927393506884905,us,2030,2.945633355011523e-07
Corrected ch-row-apac-us-eu-af,corrected_demand_slopes,ch-row-apac-us-eu-af,0.9927393506884905,eu,2030,1.559051554522739e-08
Corrected ch-row-apac-us-eu-af,corrected_demand_slopes,ch-row-apac-us-eu-af,0.9927393506884905,af,2030,5.89999999410851
Corrected ch-row-apac-us-eu-af,corrected_demand_slopes,ch-row-apac-us-eu-af,0.9927393506884905,ch,2035,642.6946363707364
Corrected ch-row-apac-us-eu-af,corrected_demand_slopes,ch-row-apac-us-eu-af,0.9927393506884905,row,2035,224.036980928239
Corrected ch-row-apac-us-eu-af,corrected_demand_slopes,ch-row-apac-us-eu-af,0.9927393506884905,apac,2035,193.5853448493758
Corrected ch-row-apac-us-eu-af,corrected_demand_slopes,ch-row-apac-us-eu-af,0.9927393506884905,us,2035,2.602698972705291e-07
Corrected ch-row-apac-us-eu-af,corrected_demand_slopes,ch-row-apac-us-eu-af,0.9927393506884905,eu,2035,1.3837711490511132e-08
Corrected ch-row-apac-us-eu-af,corrected_demand_slopes,ch-row-apac-us-eu-af,0.9927393506884905,af,2035,8.399999991780845
Corrected ch-row-apac-us-eu-af,corrected_demand_slopes,ch-row-apac-us-eu-af,0.9927393506884905,ch,2040,637.6081900191828
Corrected ch-row-apac-us-eu-af,corrected_demand_slopes,ch-row-apac-us-eu-af,0.9927393506884905,row,2040,232.69173610673553
Corrected ch-row-apac-us-eu-af,corrected_demand_slopes,ch-row-apac-us-eu-af,0.9927393506884905,apac,2040,46.258732840387864
Corrected ch-row-apac-us-eu-af,corrected_demand_slopes,ch-row-apac-us-eu-af,0.9927393506884905,us,2040,2.594445963348549e-07
Corrected ch-row-apac-us-eu-af,corrected_demand_slopes,ch-row-apac-us-eu-af,0.9927393506884905,eu,2040,1.3119939453208346e-08
Corrected ch-row-apac-us-eu-af,corrected_demand_slopes,ch-row-apac-us-eu-af,0.9927393506884905,af,2040,10.89999995840748
