importer,year,candidate,exporter,x_left_gw,x_right_gw,flow_gw,demand_gw,offer_usd_per_kw,shipping_usd_per_kw,delivered_offer_usd_per_kw,market_price_usd_per_kw
eu,2035,eu-us-af-row-apac-ch/pf080_k050_a030,us,7.897578470323313,44.72175717974282,36.82417870941951,94.999999991526,146.15039785988498,9.397,155.54739785988497,242.42674585299835
eu,2035,eu-us-af-row-apac-ch/pf080_k050_a030,apac,44.72175717974282,94.99999906396323,50.2782418842204,94.999999991526,163.7172823479497,16.30717351263244,180.02445586058212,242.42674585299835
eu,2040,af-eu-us-apac-row-ch/pf100_k100_a040,af,0.0,10.777947681402615,10.777947681402615,98.99999999591007,57.49747906317796,6.2,63.69747906317796,222.384129240558
eu,2040,af-eu-us-apac-row-ch/pf100_k100_a040,eu,10.777947681402615,60.392217165530845,49.61426948412823,98.99999999591007,158.50199826333673,0.0,158.50199826333673,222.384129240558
eu,2040,af-eu-us-apac-row-ch/pf100_k100_a040,apac,60.392217165530845,98.99999891683467,38.60778175130382,98.99999999591007,206.0383479850628,16.30717351263244,222.34552149769524,222.384129240558
us,2025,ch-af-apac-eu-row-us/pf120_k100_a040,ch,0.0,44.9999998949453,44.9999998949453,44.99999999903018,306.8143607619478,11.133,317.9473607619478,317.9923607561448
us,2030,af-eu-us-apac-row-ch/pf120_k100_a030,apac,0.0,28.521300290634297,28.521300290634297,64.99999999265533,154.53258844664597,13.71008080684597,168.24266925349193,262.99696822525607
us,2030,af-eu-us-apac-row-ch/pf120_k100_a030,us,28.521300290634297,64.99999688076677,36.47869659013247,64.99999999265533,211.7509004083749,0.0,211.7509004083749,262.99696822525607
us,2035,ch-af-apac-eu-row-us/pf120_k100_a040,us,0.0,41.291719981467,41.291719981467,69.99999999946051,188.3664806833128,0.0,188.3664806833128,228.2403968500441
us,2035,ch-af-apac-eu-row-us/pf120_k100_a040,ch,41.291719981467,69.99999992463626,28.70827994316926,69.99999999946051,217.0786885700847,11.133,228.2116885700847,228.2403968500441
us,2040,eu-us-af-row-apac-ch/pf120_k100_a040,apac,0.0,39.11939889995836,39.11939889995836,74.99999999374126,140.11525269628356,13.71008080684597,153.82533350312954,202.79927714720503
us,2040,eu-us-af-row-apac-ch/pf120_k100_a040,us,39.11939889995836,74.99999897765895,35.88060007770059,74.99999999374126,170.1546096644843,0.0,170.1546096644843,202.79927714720503
apac,2025,eu-us-af-row-apac-ch/pf120_k050_a040,apac,0.0,49.99999991880613,49.99999991880613,49.99999999352503,187.45,0.0,187.45,256.20596689081776
apac,2030,ch-af-apac-eu-row-us/pf100_k050_a040,apac,0.0,84.99999988257393,84.99999988257393,84.99999999535102,123.55706235501908,0.0,123.55706235501908,165.03144166829185
apac,2035,ch-af-apac-eu-row-us/pf120_k050_a040,apac,0.0,102.99999997208552,102.99999997208552,102.99999999833408,109.9122079504653,0.0,109.9122079504653,123.52392457972468
apac,2040,af-eu-us-apac-row-ch/pf100_k050_a040,apac,0.0,125.99999973439198,125.99999973439198,125.99999998548115,99.2855457793232,0.0,99.2855457793232,105.93406441907103
af,2025,eu-us-af-row-apac-ch/pf100_k050_a030,ch,0.0,9.999999969235263,9.999999969235263,9.999999999661012,346.7571875264596,10.5,357.2571875264596,357.2671874880048
af,2030,eu-us-af-row-apac-ch/pf120_k050_a030,af,0.0,5.827939859746574,5.827939859746574,13.99999999957894,119.25942540354018,0.0,119.25942540354018,283.4940944076927
af,2030,eu-us-af-row-apac-ch/pf120_k050_a030,apac,5.827939859746574,13.999999982576817,8.172060122830244,13.99999999957894,240.43126495162284,13.17261613691931,253.60388108854207,283.4940944076927
af,2035,af-eu-us-apac-row-ch/pf120_k050_a030,af,0.0,8.194113717003036,8.194113717003036,19.99999999927485,106.08917463044914,0.0,106.08917463044914,257.79953759369687
af,2035,af-eu-us-apac-row-ch/pf120_k050_a030,ch,8.194113717003036,19.99999975899869,11.805886041995656,19.99999999927485,247.2877317616086,10.5,257.7877317616086,257.79953759369687
af,2040,eu-us-af-row-apac-ch/pf120_k100_a040,af,0.0,10.8999517481916,10.8999517481916,27.999999997520163,95.83213549134676,0.0,95.83213549134676,224.69888596976816
af,2040,eu-us-af-row-apac-ch/pf120_k100_a040,apac,10.8999517481916,27.99999957328613,17.100047825094528,27.999999997520163,162.57434563236623,13.17261613691931,175.74696176928555,224.69888596976816
row,2025,ch-af-apac-eu-row-us/pf080_k100_a040,af,0.0,3.3999984056260413,3.3999984056260413,44.9999999998401,144.74400001449962,7.5,152.24400001449962,330.21861105858505
row,2025,ch-af-apac-eu-row-us/pf080_k100_a040,eu,3.3999984056260413,25.39999839847404,21.999999992848,44.9999999998401,239.4006859942638,8.436288165662685,247.83697415992648,330.21861105858505
row,2025,ch-af-apac-eu-row-us/pf080_k100_a040,ch,25.39999839847404,44.999999786380585,19.60000138790654,44.9999999998401,315.6025587529882,14.59645230960589,330.1990110625941,330.21861105858505
row,2030,af-eu-us-apac-row-ch/pf100_k100_a040,apac,0.0,35.3278238596159,35.3278238596159,69.99999999674662,119.2018398673246,18.88241471655794,138.08425458388254,232.96395831340485
row,2030,af-eu-us-apac-row-ch/pf100_k100_a040,row,35.3278238596159,69.99999987962246,34.67217602000657,69.99999999674662,232.92928618307093,0.0,232.92928618307093,232.96395831340485
row,2035,af-eu-us-apac-row-ch/pf100_k050_a040,apac,0.0,59.494081981639525,59.494081981639525,78.99999999720674,107.51182048336705,18.88241471655794,126.394235199925,207.2255663914782
row,2035,af-eu-us-apac-row-ch/pf100_k050_a040,row,59.494081981639525,78.99999986920682,19.505917887567293,78.99999999720674,207.20606052566248,0.0,207.20606052566248,207.2255663914782
row,2040,af-eu-us-apac-row-ch/pf080_k050_a030,row,0.0,88.99999868872966,88.99999868872966,88.99999998695316,187.1727189517057,0.0,187.1727189517057,187.26171945050567
