candidate,candidate_code,sequence,order,branch,origin,price_factor,capacity_weight,damping,selected_sweep,max_gain_percent,limiting_player,multistart_status,year,total_capacity_gw,total_demand_gw,capacity_demand_ratio,mean_price_usd_per_kw,demand_weighted_price_usd_per_kw,price_dispersion_usd_per_kw,cross_border_trade_gw,cross_border_share,china_capacity_share,apac_capacity_share
ch-af-apac-eu-row-us/pf120_k050_a030,CH-pf120_k050_a030,ch-af-apac-eu-row-us,CH-first,pf120_k050_a030,older_ch_first,1.2,0.5,0.3,13,0.7902826148,apac,fails_1_percent,2030,699.1431003,674,1.037304303,193.7089706,155.1803443,54.69672225,234.8613971,0.3484590461,0.7306362915,0.2474214332
ch-af-apac-eu-row-us/pf120_k050_a030,CH-pf120_k050_a030,ch-af-apac-eu-row-us,CH-first,pf120_k050_a030,older_ch_first,1.2,0.5,0.3,13,0.7902826148,apac,fails_1_percent,2035,734.1389321,700,1.048769903,173.5611584,140.9438698,49.51432432,259.871244,0.3712446343,0.6576809647,0.3214484849
ch-af-apac-eu-row-us/pf120_k050_a030,CH-pf120_k050_a030,ch-af-apac-eu-row-us,CH-first,pf120_k050_a030,older_ch_first,1.2,0.5,0.3,13,0.7902826148,apac,fails_1_percent,2040,792.9483983,733,1.081784991,160.1874427,131.7661459,47.08052434,275.606007,0.375997281,0.6085033953,0.3720829868
ch-af-apac-eu-row-us/pf120_k050_a040,CH-pf120_k050_a040,ch-af-apac-eu-row-us,CH-first,pf120_k050_a040,older_ch_first,1.2,0.5,0.4,15,0.80252874,ch,fails_1_percent,2025,1401.4,548.9999999,2.552641166,254.7669176,209.5385443,55.56849043,153.0000073,0.2786885379,0.6643356643,0.07849293564
ch-af-apac-eu-row-us/pf120_k050_a040,CH-pf120_k050_a040,ch-af-apac-eu-row-us,CH-first,pf120_k050_a040,older_ch_first,1.2,0.5,0.4,15,0.80252874,ch,fails_1_percent,2030,758.4170847,674,1.1252479,214.3877779,166.7804764,68.133077,233.5926425,0.3465766209,0.7611307449,0.2277556475
ch-af-apac-eu-row-us/pf120_k050_a040,CH-pf120_k050_a040,ch-af-apac-eu-row-us,CH-first,pf120_k050_a040,older_ch_first,1.2,0.5,0.4,15,0.80252874,ch,fails_1_percent,2035,812.56817,700,1.160811671,194.1058875,152.84251,62.63710362,255.6202625,0.3651718036,0.6993985351,0.2902887947
ch-af-apac-eu-row-us/pf120_k050_a040,CH-pf120_k050_a040,ch-af-apac-eu-row-us,CH-first,pf120_k050_a040,older_ch_first,1.2,0.5,0.4,15,0.80252874,ch,fails_1_percent,2040,875.1827597,732.9999999,1.193973751,158.707123,130.5563854,46.634677,282.6569957,0.3856166381,0.6494863258,0.3409806382
ch-af-apac-eu-row-us/pf120_k100_a040,CH-pf120_k100_a040,ch-af-apac-eu-row-us,CH-first,pf120_k100_a040,older_ch_first,1.2,1,0.4,6,0.6265249312,apac,fails_1_percent,2025,1401.4,549,2.552641166,249.881235,207.8677899,48.94886738,174.9999992,0.318761383,0.6643356643,0.07849293564
ch-af-apac-eu-row-us/pf120_k100_a040,CH-pf120_k100_a040,ch-af-apac-eu-row-us,CH-first,pf120_k100_a040,older_ch_first,1.2,1,0.4,6,0.6265249312,apac,fails_1_percent,2030,767.7918868,674,1.139157102,148.156524,130.5181644,22.84647604,237.8090678,0.3528324447,0.7568116633,0.2257059585
ch-af-apac-eu-row-us/pf120_k100_a040,CH-pf120_k100_a040,ch-af-apac-eu-row-us,CH-first,pf120_k100_a040,older_ch_first,1.2,1,0.4,6,0.6265249312,apac,fails_1_percent,2035,811.3493079,700,1.15907044,147.1484553,126.5046521,29.20853543,262.562802,0.3750897172,0.6915120813,0.2916651452
ch-af-apac-eu-row-us/pf120_k100_a040,CH-pf120_k100_a040,ch-af-apac-eu-row-us,CH-first,pf120_k100_a040,older_ch_first,1.2,1,0.4,6,0.6265249312,apac,fails_1_percent,2040,868.242635,732.9999999,1.184505641,150.1557486,125.8500381,40.03614742,290.9999314,0.3969985422,0.6462159652,0.3376539888
af-eu-us-apac-row-ch/pf100_k050_a040,AF-pf100_k050_a040,af-eu-us-apac-row-ch,AF-first,pf100_k050_a040,new_reinitialization,1,0.5,0.4,12,0.9745364142,ch,not_yet_audited,2025,1401.4,549,2.552641166,250.9658299,207.6196247,54.80691133,174.999999,0.3187613826,0.6643356643,0.07849293564
af-eu-us-apac-row-ch/pf100_k050_a040,AF-pf100_k050_a040,af-eu-us-apac-row-ch,AF-first,pf100_k050_a040,new_reinitialization,1,0.5,0.4,12,0.9745364142,ch,not_yet_audited,2030,684.2587932,673.9999999,1.015220761,193.8149581,155.0053177,54.85366407,233.3655809,0.3462397343,0.7325742594,0.2528694708
af-eu-us-apac-row-ch/pf100_k050_a040,AF-pf100_k050_a040,af-eu-us-apac-row-ch,AF-first,pf100_k050_a040,new_reinitialization,1,0.5,0.4,12,0.9745364142,ch,not_yet_audited,2035,744.1362978,699.9999999,1.063051854,176.4604592,142.2361663,51.4112489,254.1883158,0.3631261654,0.6693768963,0.3174377512
af-eu-us-apac-row-ch/pf100_k050_a040,AF-pf100_k050_a040,af-eu-us-apac-row-ch,AF-first,pf100_k050_a040,new_reinitialization,1,0.5,0.4,12,0.9745364142,ch,not_yet_audited,2040,806.900866,733,1.100819735,203.5880263,157.6817147,77.86919203,285.3861786,0.3893399435,0.6197362679,0.3681505718
af-eu-us-apac-row-ch/pf100_k100_a040,AF-pf100_k100_a040,af-eu-us-apac-row-ch,AF-first,pf100_k100_a040,new_reinitialization,1,1,0.4,12,0.8041774943,apac,not_yet_audited,2025,1401.4,549,2.552641166,253.1236338,208.583927,55.49627399,174.9999972,0.3187613792,0.6643356643,0.07849293564
