sequence,order_label,sweep,movement_percent,raw_best_response_move_percent,all_solves_acceptable,stable_count,final_status,solve_quality
ch-af-eu-us-row-apac,CH–AF–EU–US–ROW–APAC,5,24.31358316,15.54116326,True,0,not_converged,solve_quality_caveat
ch-af-eu-us-row-apac,CH–AF–EU–US–ROW–APAC,6,6.483622177,7.662032382,True,0,not_converged,solve_quality_caveat
ch-af-eu-us-row-apac,CH–AF–EU–US–ROW–APAC,7,4.963905592,6.569875049,True,0,not_converged,solve_quality_caveat
ch-af-eu-us-row-apac,CH–AF–EU–US–ROW–APAC,8,4.08976092,5.751226294,True,0,not_converged,solve_quality_caveat
ch-af-eu-us-row-apac,CH–AF–EU–US–ROW–APAC,9,3.409524964,5.114287446,True,0,not_converged,solve_quality_caveat
ch-af-eu-us-row-apac,CH–AF–EU–US–ROW–APAC,10,10.42289624,26.38873686,True,0,not_converged,solve_quality_caveat
ch-af-eu-us-row-apac,CH–AF–EU–US–ROW–APAC,11,6.383052047,13.04780751,True,0,not_converged,solve_quality_caveat
ch-af-eu-us-row-apac,CH–AF–EU–US–ROW–APAC,12,5.046781217,7.430181825,True,0,not_converged,solve_quality_caveat
ch-af-eu-us-row-apac,CH–AF–EU–US–ROW–APAC,13,3.587205937,4.61563209,True,0,not_converged,solve_quality_caveat
ch-af-eu-us-row-apac,CH–AF–EU–US–ROW–APAC,14,2.28539775,4.619864614,True,0,not_converged,solve_quality_caveat
ch-af-eu-us-row-apac,CH–AF–EU–US–ROW–APAC,15,1.848496617,4.621241542,True,0,not_converged,solve_quality_caveat
ch-af-eu-us-row-apac,CH–AF–EU–US–ROW–APAC,16,1.848968791,4.622421977,True,0,not_converged,solve_quality_caveat
ch-af-eu-us-row-apac,CH–AF–EU–US–ROW–APAC,17,1.849434524,4.623586311,True,0,not_converged,solve_quality_caveat
ch-af-eu-us-row-apac,CH–AF–EU–US–ROW–APAC,18,1.849897491,4.624743728,True,0,not_converged,solve_quality_caveat
ch-af-eu-us-row-apac,CH–AF–EU–US–ROW–APAC,19,1.850360297,4.625900741,True,0,not_converged,solve_quality_caveat
ch-af-eu-us-row-apac,CH–AF–EU–US–ROW–APAC,20,1.850822093,4.627055232,True,0,not_converged,solve_quality_caveat
